Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C60474,CC0402KRX7R7BB104,YAGEO,0402,"C7,C6,C8,C16,C12,C10,C17,C11,C9",100nF ±10% 16V Ceramic Capacitor X7R 0402,yes,100,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/C60474.html
2,C191023,1N5819WS,Guangdong Hottech,SOD-323,D1,Diode 40V 1A Surface Mount SOD-323,yes,50,50,50,0.0106,0.53,https://www.lcsc.com/product-detail/C191023.html
3,C106235,RC0402FR-071KL,YAGEO,0402,"R6,R4",1kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0008,0.08,https://www.lcsc.com/product-detail/C106235.html
4,C23733,CL05A475MP5NRNC,Samsung Electro-Mechanics,0402,"C18,C19,C5,C3,C4,C15",4.7uF ±20% 10V Ceramic Capacitor X5R 0402,yes,50,50,50,0.0060,0.30,https://www.lcsc.com/product-detail/C23733.html
5,C138021,RC0402FR-0727RL,YAGEO,0402,"R2,R1",27Ω ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C138021.html
6,C138033,RC0402FR-071ML,YAGEO,0402,R7,62.5mW 1MΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C138033.html
7,C2906868,FRC0402F33R0TS,FOJAN,0402,R3,33Ω ±1% 62.5mW 0402 Thick Film Resistor,yes,100,100,100,0.0006,0.06,https://www.lcsc.com/product-detail/C2906868.html
8,C315248,CL05A106MP5NUNC,Samsung Electro-Mechanics,0402,"C2,C1",10uF ±20% 10V Ceramic Capacitor X5R 0402,yes,20,20,20,0.0092,0.18,https://www.lcsc.com/product-detail/C315248.html
9,C20625731,ABM8-272-T3,ABRACON,SMD3225-4P,Y1,±30ppm 10pF ±30ppm SMD3225-4P Crystals RoHS,yes,10,5,5,0.2938,2.94,https://www.lcsc.com/product-detail/C20625731.html
10,C60490,RC0402FR-0710KL,YAGEO,0402,R5,62.5mW 10kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0008,0.08,https://www.lcsc.com/product-detail/C60490.html
11,C6851380,AAA3528RBGS/08-09,Kingbright,SMD3528-4P,D3,120° SMD3528-4P LED Indication - Discrete RoHS,yes,1,1,1,1.7689,1.77,https://www.lcsc.com/product-detail/C6851380.html
12,C42411119,AOTA-B201610S3R3-101-T,ABRACON,0806,L1,2.1A 3.3uH 115mΩ 2.4A Molded Inductor 0806 Fixed Inductors RoHS,yes,5,5,5,0.2888,1.44,https://www.lcsc.com/product-detail/C42411119.html
13,C15999,USBLC6-2P6,ST,SOT-666-6,U3,17VC Clamp 5A@8/20us Ipp ESD DIODE SOT-666-6,yes,5,5,5,0.2264,1.13,https://www.lcsc.com/product-detail/C15999.html
14,C112291,RC0402FR-07220RL,YAGEO,0402,"R9,R8",220Ω 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0009,0.09,https://www.lcsc.com/product-detail/C112291.html
15,C41378174,RP2354A,Raspberry Pi,QFN-60(7x7),U1,QFN-60(7x7) Microcontrollers RoHS,yes,1,1,1,1.4929,1.49,https://www.lcsc.com/product-detail/C41378174.html
