Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",216.310000,-56.782500,90.000000,top
"C2","10uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",217.280000,-56.782500,90.000000,top
"C3","4.7uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",217.530000,-61.022500,90.000000,top
"C4","4.7uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",216.922500,-59.350000,180.000000,top
"C5","4.7uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",220.030000,-61.082500,90.000000,top
"C6","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",214.800000,-61.532500,90.000000,top
"C7","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",220.510000,-63.652500,-90.000000,top
"C8","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",211.240000,-69.107500,-90.000000,top
"C9","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",220.970000,-71.007500,-90.000000,top
"C10","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",213.920000,-72.960000,-90.000000,top
"C11","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",211.240000,-64.622500,-90.000000,top
"C12","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",220.500000,-68.122500,-90.000000,top
"C15","4.7uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",211.240000,-66.862500,-90.000000,top
"C16","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",219.217500,-71.445000,0.000000,top
"C17","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",220.510000,-65.897500,90.000000,top
"C18","4.7uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",213.920000,-75.200000,90.000000,top
"C19","4.7uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",218.600000,-75.292500,-90.000000,top
"D1","1N5819WS","D_SOD-323F",214.840000,-57.287500,90.000000,top
"D3","LED_RKBG","LED-SMD_4P-L3.2-W2.8_XZMDKCBDDG45S-9",216.104200,-81.042900,180.000000,top
"L1","3.3u","INDC1608X95N",218.810000,-60.195000,-90.000000,top
"R1","27R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",212.050000,-59.902500,90.000000,top
"R2","27R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",213.070000,-59.907500,90.000000,top
"R3","33R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",221.010000,-61.062500,-90.000000,top
"R4","1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",211.810000,-76.160000,180.000000,top
"R5","10kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",212.937500,-62.190000,0.000000,top
"R6","1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",218.590000,-73.017500,90.000000,top
"R7","1MR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",210.920000,-78.560000,90.000000,top
"R8","220R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",216.104200,-77.480000,180.000000,top
"R9","220R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",216.104200,-78.500000,0.000000,top
"U1","RP2354_60QFN","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",215.880000,-66.857500,0.000000,top
"U2","MCP1700x-300xxTT","SOT-23",220.130000,-57.750000,-90.000000,top
"U3","USBLC6-2P6","SOT-666",212.580000,-57.205000,-90.000000,top
"Y1","ABM8-272-T3","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",216.300000,-74.035000,90.000000,top
